destination_name,hashtag_source,post_url,short_code,caption,content_type,timestamp,likes,comments,views,location_name,owner_username,collected_date,source,engagement,upload_date
Bangka Belitung,#pulaubelitung,https://www.instagram.com/p/DYzULuSGNUr/,DYzULuSGNUr,"Budaya yang dijaga dengan hati, akan tumbuh menjadi kebanggaan yang abadi, dan setiap langkah yang merawat tradisi, sejatinya sedang menuntun masa depan negeri.

Terimakasih atas kepercayaan dan kesempatannya menjadi saya sebagai bagian dari Juri dalam Festival Napak Sire Karisma Event Nusantara Belitung. Spirit daun sirih dan aktivitas nyirih menjadikan kita memahami arti diplomasi dan relasi. Terus lah membagun dan menghubungkan teman teman @festivalbudayanapaksire @ligatproduction @bella_asmanabillah 

Semoga Festival Napak Sire terus tumbuh menjadi cahaya yang menghidupkan budaya lokal, mempererat masyarakat, dan membawa pesona Belitung semakin dikenal dunia. Karena tradisi yang dijaga dengan cinta, akan selalu menemukan jalannya menuju masa depan. ❤️
#festivalnapaksire #belitung #pulaubelitung #tanjungpendam",Sidecar,2026-05-26 12:25:02+00:00,437.0,37,0.0,Belitung Bumi Laskar Pelangi,onyxi_rines,2026-06-03,Apify Instagram Scraper,474.0,2026-05-26
Bangka Belitung,#pulaubelitung,https://www.instagram.com/p/DRv8f_7iR-n/,DRv8f_7iR-n,"Bersyukur atas setiap langkah, setiap pemandangan, dan setiap nikmat yang sering terlupa 
#belitungisland #pulaubelitung",Sidecar,2025-12-02 05:21:21+00:00,83.0,0,0.0,Belitung Island,adindasyrfh20,2026-06-03,Apify Instagram Scraper,83.0,2025-12-02
Bangka Belitung,#wisatabelitung,https://www.instagram.com/p/DZEzzc-CbPL/,DZEzzc-CbPL,"🌊✨ SATU HARI, SERIBU KENANGAN DI BELITUNG! ✨🌊
Bayangkan berenang di laut sebening kristal, menjelajahi pulau-pulau eksotis, snorkeling di perairan yang memukau, dan menikmati sunset terbaik Belitung dalam satu perjalanan yang tak terlupakan. 🏝️☀️

Dengan hanya Rp750.000/orang (all-in), kamu sudah bisa menikmati pengalaman island hopping favorit wisatawan di Belitung:
✅ Pulau Lengkuas & Mercusuar Ikonik
✅ Pulau Pasir yang muncul saat air surut
✅ Pulau Batu Garuda
✅ Pulau Burung
✅ Pulau Kelayang & Kepayang
✅ Snorkeling di laut jernih Belitung
✅ Makan siang & transportasi lengkap
📸 Cocok untuk pasangan, keluarga, sahabat, maupun solo traveler yang ingin mengabadikan momen terbaik di surga tropis Indonesia.

💙 Jangan cuma lihat fotonya, rasakan langsung keindahannya!

📲 Booking sekarang: 
WhatsApp: +62 817-809-969 
Instagram: @explorebelitung

#ExploreBelitung #BelitungTrip #OneDayTripBelitung #WisataBelitung paketwisatabelitungmurah",Sidecar,2026-06-02 07:29:11+00:00,82.0,0,0.0,Belitung Bumi Laskar Pelangi,explorebelitung,2026-06-03,Apify Instagram Scraper,82.0,2026-06-02
Bangka Belitung,#bangkabelitung,https://www.instagram.com/p/DZHvvqfCSTs/,DZHvvqfCSTs,"Survei Pew Research Center terhadap 30.861 responden di 24 negara menemukan bahwa 92% orang Indonesia belum pernah bepergian ke luar negeri. 

Survei yang dilakukan pada Februari-Mei 2023 tersebut mengukur keterhubungan masyarakat dengan komunitas, negara, dan dunia, termasuk pengalaman mereka dalam melakukan perjalanan internasional.

Hasilnya menunjukkan adanya kesenjangan yang cukup besar antarnegara. Di Swedia, Belanda, dan Inggris, banyak warga mengaku telah mengunjungi lebin dari.

Sementara itu, Indonesia menjadi salah satu negara dengan persentase warga yang belum pernah ke luar negeri tertinggi dalam survei, hanya berada di bawah India yang mencapai 95%. 

Sebagai perbandingan, angka tersebut tercatat 23% di Amerika Serikat, 34% di Jepang, dan 21% di Korea Selatan. 

Temuan ini menunjukkan bahwa bepergian ke luar negeri masih menjadi kesempatan yang belum dapat dinikmati oleh banyak masyarakat di negara berkembang, termasuk Indonesia.

Source: Pew Researc Center

Hanya Followers Yang Bisa Komentar‼️

Follow @bangkabelitunginfonew Buat Kamu Lebih Tau Kabar Seputar Bangka Belitung & Sekitarnya

#bangkabelitunginfo #bangkabelitunginfonew #bangkabelitung #breakingnews #informasi",Sidecar,2026-06-03 10:51:26+00:00,69.0,1,0.0,Bangka-Belitung Islands,bangkabelitunginfonew,2026-06-03,Apify Instagram Scraper,70.0,2026-06-03
Bangka Belitung,#bangkabelitung,https://www.instagram.com/p/DZHlWHRpJYk/,DZHlWHRpJYk,"Dadan Hindayana dicopot sebagai Kepala Badan Gizi Nasional (BGN). Keputusan ini diumumkan Menteri Sekretaris Negara (Mensesneg) Prasetyo Hadi.

“Pada hari ini Selasa, tanggal 2 Juni tahun 2026, Bapak Presiden mengambil keputusan untuk melakukan pergantian pimpinan Badan Gizi Nasional, pertama adalah Saudara Dadan Hindayana sebagai Kepala Badan Gizi Nasional, kedua Saudara Lodewyk Pusung sebagai Wakil Kepala Badan Gizi Nasional, yang ketiga Saudara Sony Sonjaya sebagai Wakil Kepala Badan Gizi Nasional, tentunya disertai dengan ucapan terima kasih atas kerja keras dedikasi selama ini di dalam membangun fondasi dan mengembangkan Badan Gizi Nasional,” kata Pras di Kantor Presiden, Kompleks Istana Kepresidenan, Jakarta, Selasa (2/6/2026).

Dadan Hindayana dilantik Presiden ke-7 RI Joko Widodo (Jokowi) saat masih menjabat di masa terakhir kabinetnya, pada Senin (19/8/2024). Ia dipercaya Jokowi menjadi Kepala Badan Gizi Nasional, yaitu badan yang bakal mengurusi program makan bergizi gratis Prabowo Subianto-Gibran Rakabuming Raka.

Dadan merupakan dosen di Departemen Proteksi Tanaman, Fakultas Pertanian Institut Pertanian Bogor (IPB). Dadan tercatat menempuh pendidikan Proteksi Tanaman IPB pada 1986-1990. 

Ia melanjutkan pendidikannya di University of Bonn, Jerman, dan lulus 1997, serta Leibniz Universität Hannover dan lulus 1997.

Dikutip dari Pangkalan Data Pendidikan Tinggi Kemendikbud, Dadan memiliki jabatan fungsional sebagai lektor dengan pendidikan terakhir jenjang S3. Ia juga pernah menerbitkan sejumlah karya ilmiah, termasuk jurnal internasional.

Beberapa karyanya antara lain ‘Preferensi Serangan Tikus Sawah (Rattus argentiventer) terhadap Tanaman Padi’. Lalu, ‘Keanekaragaman dan Peran Fungsional Serangga Ordo Coleoptera di Area Reklamasi Pascatambang Batu Bara di Berau, Kalimantan Timur’.

📝 selengkapnya di news.detik.com

Hanya Followers Yang Bisa Komentar‼️

Follow @bangkabelitunginfonew Buat Kamu Lebih Tau Kabar Seputar Bangka Belitung & Sekitarnya

#bangkabelitunginfo #bangkabelitunginfonew #bangkabelitung #breakingnews #informasi",Image,2026-06-03 09:20:37+00:00,49.0,0,0.0,Bangka-Belitung Islands,bangkabelitunginfonew,2026-06-03,Apify Instagram Scraper,49.0,2026-06-03
Bangka Belitung,#pulaubelitung,https://www.instagram.com/p/DX-hSkaj7tt/,DX-hSkaj7tt,"Beberapa anggrek hutan satu di antara nya (Bulbophyllum sp) di area bakau (slide 3-4). Sayang belum ada nya bunga untuk mengidentifikasi nya. Namun yang menarik Anggrek (Slide 1) baru kali ini menjumpai bentuk bulb nya yang berbeda dari beberapa Bulbophyllum yang saya tahu. Slide 2-3 apakah Genus dari Thryxpermum? Dan mungkin ada yang tahu spesies dari ke 2 Bulbophyllum tersebut? 

#anggrekliar 
#orchid 
#bulbophyllum
#pulaubelitung",Sidecar,2026-05-06 00:20:34+00:00,46.0,2,0.0,,firman_y78,2026-06-03,Apify Instagram Scraper,48.0,2026-05-06
Bangka Belitung,#belitung,https://www.instagram.com/p/DZG7fSRCSSB/,DZG7fSRCSSB,"Selama 2 hari kami melakukan penggalian data dan informasi dalam penelitian yang sedang kami lakukan untuk Desa Tanjung Binga. 

Mulai dari potensi alam, budaya, kearifan lokal, hingga kehidupan sosial masyarakat, setiap proses menjadi bagian penting untuk memahami kekuatan dan karakter desa yang telah tumbuh dan berkembang selama bertahun-tahun.

Melalui observasi lapangan, wawancara, diskusi, dan dokumentasi bersama masyarakat, kami berupaya menghimpun berbagai data dan informasi yang nantinya akan menjadi dasar dalam menyusun kajian serta rekomendasi pengembangan desa yang berkelanjutan.

Lebih dari sekadar penelitian, hasil dari kegiatan ini akan dibawa dan dipresentasikan dalam forum internasional sebagai salah satu contoh praktik baik pengembangan desa berbasis potensi lokal, masyarakat, dan pelestarian budaya. Ini menjadi kesempatan besar untuk memperkenalkan Desa Tanjung Binga kepada dunia, sekaligus menunjukkan bahwa desa-desa di Indonesia memiliki potensi luar biasa yang layak mendapatkan perhatian global.

Terima kasih kepada seluruh masyarakat Desa Tanjung Binga yang telah berbagi cerita, pengalaman, dan pengetahuan. Semoga langkah kecil ini dapat menjadi bagian dari perjalanan besar untuk membawa nama desa semakin dikenal di tingkat nasional maupun internasional. ✨🌏

#DesaTanjungBinga #Belitung #desaminaeduwisataindonesia  #desaminaeduwisatakreatiftanjungbinga #desaminaeduwisata",Sidecar,2026-06-03 03:14:49+00:00,34.0,4,0.0,,tanjungbinga.id,2026-06-03,Apify Instagram Scraper,38.0,2026-06-03
Bangka Belitung,#bangkabelitung,https://www.instagram.com/p/DZHrGx-k4z0/,DZHrGx-k4z0,"Aku, kamu, dan skuter listrik 😃
.
.
.
Preweddingnya Paqih & Nindira
.
.
@paqihalkayesss @nindiraandr 
.
.
Wo : @edelweiss.weddingplanner 
Mua : @mona_monicha 
Fg : @setarapicture_ 
Setarateam : @_royanda @habibi.alct 
.
.
#prewedding #preweddingoutdoor #bangkabelitung #photos #pangkalpinang",Sidecar,2026-06-03 10:10:54+00:00,37.0,0,0.0,Bangka-Belitung Islands,setarapicture_,2026-06-03,Apify Instagram Scraper,37.0,2026-06-03
Bangka Belitung,#pulaubelitung,https://www.instagram.com/p/DXo3E2wFBFB/,DXo3E2wFBFB,#beach #sea #panorama #holiday #pulaubelitung,Sidecar,2026-04-27 14:27:38+00:00,32.0,4,0.0,Belitung Island,yoyosudiono,2026-06-03,Apify Instagram Scraper,36.0,2026-04-27
Bangka Belitung,#wisatabelitung,https://www.instagram.com/p/DY9OyjfIOAi/,DY9OyjfIOAi,"Potret keseruan group trip bareng Go Belitung Trip dari sudut pandang udara! 📸✈️

Pemandangannya indah, lautnya se-biru itu, dan yang paling penting kekompakan rombongannya juara banget! Terima kasih sudah mempercayakan momen kebersamaannya kepada kami.

Mau grup kantor atau keluarga kamu punya dokumentasi sekeren ini juga? Yuk, langsung amankan slot trip kalian!
BOOKING SEKARANG, BERANGKAT BESOK
📱 WhatsApp: +62 812-4802-3619
💻 Instagram: @gobelitungtrip
📍 Kantor: Jl. Tj. Pandan, Kab. Belitung, Kep. Bangka Belitung 33411

#belitung #wisatabelitung #opentripbelitung #privatetrip #laskarpelangi",Sidecar,2026-05-30 08:51:04+00:00,29.0,0,0.0,,gobelitungtrip,2026-06-03,Apify Instagram Scraper,29.0,2026-05-30
