query,value,destination
di mana letak candi borobudur,150,Candi Borobudur
candi borobudur di mana,110,Candi Borobudur
candi borobudur dimana,80,Candi Borobudur
indonesia merupakan negara titik-titik karena terdiri atas beribu-ribu pulau,24700,Raja Ampat
kumpulan beragam jenis karang yang indah sering disebut sebagai taman laut walaupun karang termasuk titik-titik khas laut,10600,Raja Ampat
tambang nikel raja ampat,10000,Raja Ampat
nikel raja ampat,6700,Raja Ampat
nikel,6400,Raja Ampat
tambang nikel di raja ampat,4850,Raja Ampat
save raja ampat,3900,Raja Ampat
semua makhluk hidup yang ada di dalam laut disebut titik-titik laut,1750,Raja Ampat
pt gag nikel,1550,Raja Ampat
kumpulan beragam jenis karang yang indah sering disebut sebagai taman laut walaupun karang termasuk,1350,Raja Ampat
hutan-hutan papua barat kaya akan aneka titik-titik yang tidak ditemui di tempat lain misalnya buah matoa,1100,Raja Ampat
tambang di raja ampat,750,Raja Ampat
kondisi raja ampat sekarang,750,Raja Ampat
kasus raja ampat,400,Raja Ampat
puisi raja ampat,300,Raja Ampat
raja ampat sekarang,300,Raja Ampat
kegiatan larangan pengambilan hasil-hasil potensi alam oleh masyarakat raja ampat dikenal dengan sebutan,200,Raja Ampat
raja ampat dimana,90,Raja Ampat
dimana raja ampat,80,Raja Ampat
papua barat,60,Raja Ampat
kabupaten raja ampat,50,Raja Ampat
